item_id,feature,target,stimulus,state,spans,covered,todo,percent,excluded,max_nesting,cross,conditions,directive,detail,source,generate
TP2178,sys,clint_load,helper_function,not started,60,0,60,0.0,0,1,,else,"execute an instruction that calls this helper: amoswap, amoadd, amoxor, amoand, amoor, amomin, amomax, amominu, ...",clint_load() reached via 8+ instruction(s),sys/platform.sail:89,opcode_sweep.py extensions/A/zaamo_insts.sail extensions/cfi/zicfiss_insts.sail
TP0121,core,legalize_misa,extension_gate,not started,35,0,35,0.0,0,0,,,"run with this extension enabled, and again with it disabled",Ext_A,core/sys_regs.sail:108,opcode_sweep.py core/sys_regs.sail
TP0449,FD,rF,unclassified,not started,26,0,26,0.0,0,1,,match r,read the guard and decide what arranges it,,extensions/FD/fdext_regs.sail:136,opcode_sweep.py extensions/FD/fdext_regs.sail
TP0068,core,alignmentFaultFromAccessType,memory_op,not started,20,0,20,0.0,0,1,,match access,issue this kind of memory access,InstructionFetch,core/mem_type_utils.sail:52,opcode_sweep.py core/mem_type_utils.sail
TP1363,V,riscv_f16Recip7,helper_function,not started,20,0,20,0.0,0,1,,match float_classify(v),"execute an instruction that calls this helper: vfsqrt.v, vfrsqrt7.v, vfrec7.v, vfclass.v",riscv_f16Recip7() reached via 4 instruction(s),extensions/V/vext_fp_utils_insts.sail:566,opcode_sweep.py extensions/V/vext_fp_insts.sail
TP1365,V,riscv_f64Recip7,helper_function,not started,20,0,20,0.0,0,1,,match float_classify(v),"execute an instruction that calls this helper: vfsqrt.v, vfrsqrt7.v, vfrec7.v, vfclass.v",riscv_f64Recip7() reached via 4 instruction(s),extensions/V/vext_fp_utils_insts.sail:598,opcode_sweep.py extensions/V/vext_fp_insts.sail
TP1447,V,VMTYPE,instruction,not started,20,0,20,0.0,0,3,yes,"if i < evl AND if op == VLM AND match vmem_read(rs1, to_bits_unsafe(xlen, i), 1, Load(Vector), false, false, fal",generate any legal form of this instruction,VMTYPE body,extensions/V/vext_mem_insts.sail:610,opcode_sweep.py extensions/V/vext_mem_insts.sail
TP2187,sys,htif_load,helper_function,not started,20,0,20,0.0,0,1,,let base : physaddrbits = match htif_tohost_base,"execute an instruction that calls this helper: amoswap, amoadd, amoxor, amoand, amoor, amomin, amomax, amominu, ...",htif_load() reached via 8+ instruction(s),sys/platform.sail:268,opcode_sweep.py extensions/A/zaamo_insts.sail extensions/cfi/zicfiss_insts.sail
TP1434,V,VLXSEGTYPE,instruction,not started,19,0,19,0.0,0,2,yes,"if mask[i] == 0b1 AND match vmem_read(rs1, to_bits_unsafe(xlen, elem_offset), EEW_data_bytes, Load(Vec",generate any legal form of this instruction,VLXSEGTYPE body,extensions/V/vext_mem_insts.sail:359,opcode_sweep.py extensions/V/vext_mem_insts.sail
TP1437,V,VSXSEGTYPE,instruction,not started,18,0,18,0.0,0,2,yes,"if mask[i] == 0b1 AND match vmem_write(rs1, to_bits_unsafe(xlen, elem_offset), EEW_data_bytes, data, S",generate any legal form of this instruction,VSXSEGTYPE body,extensions/V/vext_mem_insts.sail:427,opcode_sweep.py extensions/V/vext_mem_insts.sail
TP1753,Zvabd,ZVWABDATYPE,instruction,not started,18,0,18,0.0,0,1,,if mask[i] == 0b1,generate any legal form of this instruction,ZVWABDATYPE body,extensions/Zvabd/zvabd_insts.sail:126,opcode_sweep.py extensions/Zvabd/zvabd_insts.sail
TP1458,V,RMVVTYPE,instruction,not started,17,0,17,0.0,0,1,,if mask[i] == 0b1,generate any legal form of this instruction,RMVVTYPE body,extensions/V/vext_red_insts.sail:102,opcode_sweep.py extensions/V/vext_red_insts.sail
TP1035,V,VMVRTYPE,instruction,not started,16,0,16,0.0,0,1,,"let EMUL_pow : range(0, 3) = match EMUL",generate any legal form of this instruction,VMVRTYPE body,extensions/V/vext_arith_insts.sail:1371,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP2051,postlude,loop,unclassified,not started,16,0,16,0.0,0,1,,if stepped,read the guard and decide what arranges it,,postlude/step.sail:284,opcode_sweep.py postlude/step.sail
TP1431,V,VSSSEGTYPE,instruction,not started,15,0,15,0.0,0,2,yes,"if mask[i] == 0b1 AND match vmem_write(rs1, to_bits_unsafe(xlen, elem_offset), load_width_bytes, data,",generate any legal form of this instruction,VSSSEGTYPE body,extensions/V/vext_mem_insts.sail:299,opcode_sweep.py extensions/V/vext_mem_insts.sail
TP1518,V,valid_wide_mvvtype,extension_gate,not started,15,0,15,0.0,0,1,,match mvvtype,"run with this extension enabled, and again with it disabled",Ext_V,extensions/V/vext_utils_insts.sail:220,opcode_sweep.py extensions/V/vext_utils_insts.sail
TP1520,V,valid_wide_mvxtype,extension_gate,not started,15,0,15,0.0,0,1,,match mvxtype,"run with this extension enabled, and again with it disabled",Ext_V,extensions/V/vext_utils_insts.sail:227,opcode_sweep.py extensions/V/vext_utils_insts.sail
TP2007,postlude,is_CSR_exception_virtual,helper_function,not started,14,0,14,0.0,0,1,,"match (csr, priv, access_type)","execute an instruction that calls this helper: CSRImm, CSRReg",is_CSR_exception_virtual() reached via 2 instruction(s),postlude/csr_end.sail:415,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
TP0055,core,lift_sie,helper_function,not started,13,0,13,0.0,0,0,,,"execute an instruction that calls this helper: CSRImm, CSRReg",lift_sie() reached via 2 instruction(s),core/interrupt_regs.sail:198,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
TP1428,V,VLSSEGTYPE,instruction,not started,13,0,13,0.0,0,2,yes,"if mask[i] == 0b1 AND match vmem_read(rs1, to_bits_unsafe(xlen, elem_offset), load_width_bytes, Load(V",generate any legal form of this instruction,VLSSEGTYPE body,extensions/V/vext_mem_insts.sail:241,opcode_sweep.py extensions/V/vext_mem_insts.sail
TP2012,postlude,mmu_type,extension_gate,not started,13,0,13,0.0,0,1,,if xlen == 32,"run with this extension enabled, and again with it disabled",Ext_Sv32,postlude/device_tree.sail:12,opcode_sweep.py postlude/device_tree.sail
TP2204,sys,pma_misaligned_exception,memory_op,not started,13,0,13,0.0,0,1,,match access,issue this kind of memory access,Load,sys/pma.sail:142,opcode_sweep.py sys/pma.sail
TP2212,sys,sig_store,helper_function,not started,13,0,13,0.0,0,1,,else,"execute an instruction that calls this helper: amoswap, amoadd, amoxor, amoand, amoor, amomin, amomax, amominu, ...",sig_store() reached via 8+ instruction(s),sys/simple_interrupt_generator.sail:32,opcode_sweep.py extensions/A/zaamo_insts.sail extensions/cfi/zicfiss_insts.sail extensions/Zicboz/zicboz_insts.sail
TP0855,Stateen,stateen_allows_CSR_access,extension_gate,not started,12,0,12,0.0,0,1,,"match (csr, priv)","run with this extension enabled, and again with it disabled",Ext_Zfinx,extensions/Stateen/stateen_access_checks.sail:56,opcode_sweep.py extensions/Stateen/stateen_access_checks.sail
TP1359,V,riscv_f16Rsqrte7,helper_function,not started,12,0,12,0.0,0,1,,match float_classify(v),"execute an instruction that calls this helper: vfsqrt.v, vfrsqrt7.v, vfrec7.v, vfclass.v",riscv_f16Rsqrte7() reached via 4 instruction(s),extensions/V/vext_fp_utils_insts.sail:462,opcode_sweep.py extensions/V/vext_fp_insts.sail
TP1361,V,riscv_f64Rsqrte7,helper_function,not started,12,0,12,0.0,0,1,,match float_classify(v),"execute an instruction that calls this helper: vfsqrt.v, vfrsqrt7.v, vfrec7.v, vfclass.v",riscv_f64Rsqrte7() reached via 4 instruction(s),extensions/V/vext_fp_utils_insts.sail:493,opcode_sweep.py extensions/V/vext_fp_insts.sail
TP1622,V,VICMPTYPE,instruction,not started,12,0,12,0.0,0,1,,if mask[i] == 0b1,generate any legal form of this instruction,VICMPTYPE body,extensions/V/vext_vm_insts.sail:726,opcode_sweep.py extensions/V/vext_vm_insts.sail
