address,name,privilege_from_address,feature_group,read_write_behaviour,source
0x001,fflags,User,FD,Not directly derivable from Sail,extensions/FD/fdext_control.sail:23
0x002,frm,User,FD,Not directly derivable from Sail,extensions/FD/fdext_control.sail:24
0x003,fcsr,User,FD,Not directly derivable from Sail,extensions/FD/fdext_control.sail:25
0x008,vstart,User,V,Not directly derivable from Sail,extensions/V/vext_regs.sail:302
0x009,vxsat,User,V,Not directly derivable from Sail,extensions/V/vext_regs.sail:303
0x00A,vxrm,User,V,Not directly derivable from Sail,extensions/V/vext_regs.sail:304
0x00F,vcsr,User,V,Not directly derivable from Sail,extensions/V/vext_regs.sail:305
0x011,ssp,User,cfi,Not directly derivable from Sail,extensions/cfi/zicfiss_regs.sail:47
0x015,seed,User,K,Not directly derivable from Sail,extensions/K/zkr_control.sail:43
0x100,sstatus,Supervisor,core,Not directly derivable from Sail,core/sys_regs.sail:757
0x104,sie,Supervisor,core,Not directly derivable from Sail,core/interrupt_regs.sail:230
0x105,stvec,Supervisor,exceptions,Not directly derivable from Sail,exceptions/sys_exceptions.sail:108
0x106,scounteren,Supervisor,core,Not directly derivable from Sail,core/sys_regs.sail:611
0x10A,senvcfg,Supervisor,core,Not directly derivable from Sail,core/sys_regs.sail:459
0x10C,sstateen0,Supervisor,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:89
0x10D,sstateen1,Supervisor,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:90
0x10E,sstateen2,Supervisor,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:91
0x10F,sstateen3,Supervisor,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:92
0x140,sscratch,Supervisor,core,Not directly derivable from Sail,core/sys_regs.sail:769
0x141,sepc,Supervisor,exceptions,Not directly derivable from Sail,exceptions/sys_exceptions.sail:109
0x142,scause,Supervisor,core,Not directly derivable from Sail,core/sys_regs.sail:770
0x143,stval,Supervisor,core,Not directly derivable from Sail,core/sys_regs.sail:771
0x144,sip,Supervisor,core,Not directly derivable from Sail,core/interrupt_regs.sail:210
0x14D,stimecmp,Supervisor,Sstc,Not directly derivable from Sail,extensions/Sstc/sstc.sail:9
0x15D,stimecmph,Supervisor,Sstc,Not directly derivable from Sail,extensions/Sstc/sstc.sail:10
0x180,satp,Supervisor,sys,Not directly derivable from Sail,sys/vmem.sail:228
0x181,srmcfg,Supervisor,Ssqosid,Not directly derivable from Sail,extensions/Ssqosid/ssqosid.sail:32
0x300,mstatus,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:270
0x301,misa,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:126
0x302,medeleg,Machine,core,Not directly derivable from Sail,core/interrupt_regs.sail:119
0x303,mideleg,Machine,core,Not directly derivable from Sail,core/interrupt_regs.sail:121
0x304,mie,Machine,core,Not directly derivable from Sail,core/interrupt_regs.sail:117
0x305,mtvec,Machine,exceptions,Not directly derivable from Sail,exceptions/sys_exceptions.sail:110
0x306,mcounteren,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:625
0x30A,menvcfg,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:457
0x30C,mstateen0,Machine,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:9
0x30D,mstateen1,Machine,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:10
0x30E,mstateen2,Machine,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:11
0x30F,mstateen3,Machine,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:12
0x310,mstatush,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:271
0x312,medelegh,Machine,core,Not directly derivable from Sail,core/interrupt_regs.sail:120
0x31A,menvcfgh,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:458
0x31C,mstateen0h,Machine,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:13
0x31D,mstateen1h,Machine,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:14
0x31E,mstateen2h,Machine,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:15
0x31F,mstateen3h,Machine,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:16
0x320,mcountinhibit,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:645
0x321,mcyclecfg,Machine,Smcntrpmf,Not directly derivable from Sail,extensions/Smcntrpmf/smcntrpmf.sail:26
0x322,minstretcfg,Machine,Smcntrpmf,Not directly derivable from Sail,extensions/Smcntrpmf/smcntrpmf.sail:28
0x323,mhpmevent3,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:74
0x324,mhpmevent4,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:75
0x325,mhpmevent5,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:76
0x326,mhpmevent6,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:77
0x327,mhpmevent7,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:78
0x328,mhpmevent8,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:79
0x329,mhpmevent9,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:80
0x32A,mhpmevent10,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:81
0x32B,mhpmevent11,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:82
0x32C,mhpmevent12,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:83
0x32D,mhpmevent13,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:84
0x32E,mhpmevent14,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:85
0x32F,mhpmevent15,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:86
0x330,mhpmevent16,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:87
0x331,mhpmevent17,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:88
