id,name,classification,classified_by,config_key,xlen_requirement,support_predicate,source
Ext_M,m,unprivileged,config key extensions.M.supported,extensions.M.supported,any,config extensions.M.supported,core/extensions.sail:35
Ext_A,a,unprivileged,config key extensions.A.supported,extensions.A.supported,any,config extensions.A.supported,core/extensions.sail:39
Ext_F,f,unprivileged,config key extensions.F.supported,extensions.F.supported,any,config extensions.F.supported,core/extensions.sail:43
Ext_D,d,unprivileged,no config gate (always present),Not directly derivable from Sail,any,constraint(ext_d_supported) & hartSupports(Ext_F),core/extensions.sail:49
Ext_B,b,unprivileged,config key extensions.B.supported,extensions.B.supported,any,config extensions.B.supported,core/extensions.sail:53
Ext_V,v,unprivileged,no config gate (always present),Not directly derivable from Sail,any,sizeof(vlen_exp) >= 7 & vector_support_level >= Full,core/extensions.sail:57
Ext_S,s,privileged,config key extensions.S.supported,extensions.S.supported,any,config extensions.S.supported,core/extensions.sail:61
Ext_U,u,unprivileged,config key extensions.U.supported,extensions.U.supported,any,config extensions.U.supported,core/extensions.sail:65
Ext_H,h,unprivileged,no config gate (always present),Not directly derivable from Sail,any,false,core/extensions.sail:69
Ext_Zibi,zibi,unprivileged,config key extensions.Zibi.supported,extensions.Zibi.supported,any,sys_enable_experimental_extensions() & config extensions.Zibi.supported,core/extensions.sail:73
Ext_Zic64b,zic64b,unprivileged,config key extensions.Zic64b.supported,extensions.Zic64b.supported,any,config extensions.Zic64b.supported,core/extensions.sail:77
Ext_Zicbom,zicbom,unprivileged,config key extensions.Zicbom.supported,extensions.Zicbom.supported,any,config extensions.Zicbom.supported,core/extensions.sail:82
Ext_Zicbop,zicbop,unprivileged,config key extensions.Zicbop.supported,extensions.Zicbop.supported,any,config extensions.Zicbop.supported,core/extensions.sail:86
Ext_Zicboz,zicboz,unprivileged,config key extensions.Zicboz.supported,extensions.Zicboz.supported,any,config extensions.Zicboz.supported,core/extensions.sail:90
Ext_Zicfilp,zicfilp,unprivileged,config key extensions.Zicfilp.supported,extensions.Zicfilp.supported,any,config extensions.Zicfilp.supported,core/extensions.sail:94
Ext_Zicfiss,zicfiss,unprivileged,config key extensions.Zicfiss.supported,extensions.Zicfiss.supported,any,config extensions.Zicfiss.supported,core/extensions.sail:98
Ext_Zicntr,zicntr,unprivileged,config key extensions.Zicntr.supported,extensions.Zicntr.supported,any,config extensions.Zicntr.supported,core/extensions.sail:102
Ext_Zicond,zicond,unprivileged,config key extensions.Zicond.supported,extensions.Zicond.supported,any,config extensions.Zicond.supported,core/extensions.sail:106
Ext_Zicsr,zicsr,unprivileged,config key extensions.Zicsr.supported,extensions.Zicsr.supported,any,config extensions.Zicsr.supported,core/extensions.sail:110
Ext_Zifencei,zifencei,unprivileged,config key extensions.Zifencei.supported,extensions.Zifencei.supported,any,config extensions.Zifencei.supported,core/extensions.sail:114
Ext_Zihintntl,zihintntl,unprivileged,config key extensions.Zihintntl.supported,extensions.Zihintntl.supported,any,config extensions.Zihintntl.supported,core/extensions.sail:118
Ext_Zihintpause,zihintpause,unprivileged,config key extensions.Zihintpause.supported,extensions.Zihintpause.supported,any,config extensions.Zihintpause.supported,core/extensions.sail:122
Ext_Zihpm,zihpm,unprivileged,config key extensions.Zihpm.supported,extensions.Zihpm.supported,any,config extensions.Zihpm.supported,core/extensions.sail:126
Ext_Zimop,zimop,unprivileged,config key extensions.Zimop.supported,extensions.Zimop.supported,any,config extensions.Zimop.supported,core/extensions.sail:130
Ext_Zmmul,zmmul,unprivileged,config key extensions.Zmmul.supported,extensions.Zmmul.supported,any,config extensions.Zmmul.supported,core/extensions.sail:135
Ext_Zaamo,zaamo,unprivileged,config key extensions.Zaamo.supported,extensions.Zaamo.supported,any,config extensions.Zaamo.supported,core/extensions.sail:140
Ext_Zabha,zabha,unprivileged,config key extensions.Zabha.supported,extensions.Zabha.supported,any,config extensions.Zabha.supported,core/extensions.sail:144
Ext_Zacas,zacas,unprivileged,config key extensions.Zacas.supported,extensions.Zacas.supported,any,config extensions.Zacas.supported,core/extensions.sail:148
Ext_Zalrsc,zalrsc,unprivileged,config key extensions.Zalrsc.supported,extensions.Zalrsc.supported,any,config extensions.Zalrsc.supported,core/extensions.sail:152
Ext_Zawrs,zawrs,unprivileged,config key extensions.Zawrs.supported,extensions.Zawrs.supported,any,config extensions.Zawrs.supported,core/extensions.sail:156
Ext_Za64rs,za64rs,unprivileged,config key extensions.Zalrsc.supported,extensions.Zalrsc.supported,any,plat_reservation_set_size_exp <= 6 & (config extensions.Zalrsc.supported : bool | config extensions.A.supported : bool),core/extensions.sail:160
Ext_Za128rs,za128rs,unprivileged,config key extensions.Zalrsc.supported,extensions.Zalrsc.supported,any,plat_reservation_set_size_exp <= 7 & (config extensions.Zalrsc.supported : bool | config extensions.A.supported : bool),core/extensions.sail:163
Ext_Zfa,zfa,unprivileged,config key extensions.Zfa.supported,extensions.Zfa.supported,any,config extensions.Zfa.supported,core/extensions.sail:168
Ext_Zfbfmin,zfbfmin,unprivileged,config key extensions.Zfbfmin.supported,extensions.Zfbfmin.supported,any,config extensions.Zfbfmin.supported,core/extensions.sail:172
Ext_Zfh,zfh,unprivileged,config key extensions.Zfh.supported,extensions.Zfh.supported,any,config extensions.Zfh.supported,core/extensions.sail:176
Ext_Zfhmin,zfhmin,unprivileged,config key extensions.Zfhmin.supported,extensions.Zfhmin.supported,any,config extensions.Zfhmin.supported,core/extensions.sail:180
Ext_Zfinx,zfinx,unprivileged,config key extensions.Zfinx.supported,extensions.Zfinx.supported,any,config extensions.Zfinx.supported,core/extensions.sail:184
Ext_Zdinx,zdinx,unprivileged,config key extensions.Zdinx.supported,extensions.Zdinx.supported,any,config extensions.Zdinx.supported,core/extensions.sail:189
Ext_Zca,zca,unprivileged,config key extensions.Zca.supported,extensions.Zca.supported,any,config extensions.Zca.supported,core/extensions.sail:194
Ext_Zcb,zcb,unprivileged,config key extensions.Zcb.supported,extensions.Zcb.supported,any,config extensions.Zcb.supported,core/extensions.sail:198
Ext_Zcd,zcd,unprivileged,config key extensions.Zcd.supported,extensions.Zcd.supported,any,config extensions.Zcd.supported,core/extensions.sail:202
Ext_Zcf,zcf,unprivileged,config key extensions.Zcf.supported,extensions.Zcf.supported,32,config extensions.Zcf.supported : bool & (xlen == 32),core/extensions.sail:206
Ext_Zcmop,zcmop,unprivileged,config key extensions.Zcmop.supported,extensions.Zcmop.supported,any,config extensions.Zcmop.supported,core/extensions.sail:210
Ext_C,c,unprivileged,no config gate (always present),Not directly derivable from Sail,any,hartSupports(Ext_Zca) & (hartSupports(Ext_Zcf) | not(hartSupports(Ext_F)) | xlen != 32) & (hartSupports(Ext_Zcd) | not(hartSupports(Ext_D))),core/extensions.sail:218
Ext_Zba,zba,unprivileged,config key extensions.Zba.supported,extensions.Zba.supported,any,config extensions.Zba.supported,core/extensions.sail:223
Ext_Zbb,zbb,unprivileged,config key extensions.Zbb.supported,extensions.Zbb.supported,any,config extensions.Zbb.supported,core/extensions.sail:227
Ext_Zbc,zbc,unprivileged,config key extensions.Zbc.supported,extensions.Zbc.supported,any,config extensions.Zbc.supported,core/extensions.sail:231
Ext_Zbkb,zbkb,unprivileged,config key extensions.Zbkb.supported,extensions.Zbkb.supported,any,config extensions.Zbkb.supported,core/extensions.sail:235
Ext_Zbkc,zbkc,unprivileged,config key extensions.Zbkc.supported,extensions.Zbkc.supported,any,config extensions.Zbkc.supported,core/extensions.sail:239
Ext_Zbkx,zbkx,unprivileged,config key extensions.Zbkx.supported,extensions.Zbkx.supported,any,config extensions.Zbkx.supported,core/extensions.sail:243
Ext_Zbs,zbs,unprivileged,config key extensions.Zbs.supported,extensions.Zbs.supported,any,config extensions.Zbs.supported,core/extensions.sail:247
Ext_Ziccamoa,ziccamoa,unprivileged,config key extensions.Ziccamoa.supported,extensions.Ziccamoa.supported,any,config extensions.Ziccamoa.supported,core/extensions.sail:252
Ext_Ziccamoc,ziccamoc,unprivileged,config key extensions.Ziccamoc.supported,extensions.Ziccamoc.supported,any,config extensions.Ziccamoc.supported,core/extensions.sail:256
Ext_Ziccif,ziccif,unprivileged,config key extensions.Ziccif.supported,extensions.Ziccif.supported,any,config extensions.Ziccif.supported,core/extensions.sail:260
Ext_Zicclsm,zicclsm,unprivileged,config key extensions.Zicclsm.supported,extensions.Zicclsm.supported,any,config extensions.Zicclsm.supported,core/extensions.sail:265
Ext_Ziccrse,ziccrse,unprivileged,config key extensions.Ziccrse.supported,extensions.Ziccrse.supported,any,config extensions.Ziccrse.supported,core/extensions.sail:270
