name,extension_group,signature,operand_types,enum_operands,forms,encdec_clauses,compressed,config_prerequisites,source
AMO,A,"(amoop, bool, bool, regidx, regidx, word_width_wide, regidx)",amoop;bool;bool;regidx;regidx;word_width_wide;regidx,amoop(10),10,1,False,"amo_encoding_valid(size, op, rs2, rd)",extensions/A/zaamo_insts.sail:47
LOADRES,A,"(bool, bool, regidx, word_width, regidx)",bool;bool;regidx;word_width;regidx,,1,1,False,currentlyEnabled(Ext_Zalrsc) & lrsc_width_valid(width),extensions/A/zalrsc_insts.sail:26
STORECON,A,"(bool, bool, regidx, regidx, word_width, regidx)",bool;bool;regidx;regidx;word_width;regidx,,1,1,False,currentlyEnabled(Ext_Zalrsc) & lrsc_width_valid(width),extensions/A/zalrsc_insts.sail:59
SLLIUW,B,"(bits(6), regidx, regidx)",bits(6);regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zba) & xlen == 64,extensions/B/zba_insts.sail:13
ZBA_RTYPEUW,B,"(regidx, regidx, regidx, shamt_zba)",regidx;regidx;regidx;shamt_zba,,1,2,False,currentlyEnabled(Ext_Zba) & xlen == 64;currentlyEnabled(Ext_Zba) & xlen == 64 & shamt != 0b00,extensions/B/zba_insts.sail:29
ZBA_RTYPE,B,"(regidx, regidx, regidx, shamt_zba)",regidx;regidx;regidx;shamt_zba,,1,1,False,shamt != 0b00 & currentlyEnabled(Ext_Zba),extensions/B/zba_insts.sail:59
RORIW,B,"(bits(5), regidx, regidx)",bits(5);regidx;regidx,,1,1,False,(currentlyEnabled(Ext_Zbb) | currentlyEnabled(Ext_Zbkb)) & xlen == 64,extensions/B/zbb_insts.sail:13
RORI,B,"(bits(6), regidx, regidx)",bits(6);regidx;regidx,,1,1,False,(currentlyEnabled(Ext_Zbb) | currentlyEnabled(Ext_Zbkb)) & (xlen == 64 | shamt[5] == 0b0),extensions/B/zbb_insts.sail:29
ZBB_RTYPEW,B,"(regidx, regidx, regidx, bropw_zbb)",regidx;regidx;regidx;bropw_zbb,bropw_zbb(2),2,2,False,(currentlyEnabled(Ext_Zbb) | currentlyEnabled(Ext_Zbkb)) & xlen == 64,extensions/B/zbb_insts.sail:46
ZBB_RTYPE,B,"(regidx, regidx, regidx, brop_zbb)",regidx;regidx;regidx;brop_zbb,brop_zbb(9),9,9,False,currentlyEnabled(Ext_Zbb);currentlyEnabled(Ext_Zbb) | currentlyEnabled(Ext_Zbkb),extensions/B/zbb_insts.sail:79
ZBB_EXTOP,B,"(regidx, regidx, extop_zbb)",regidx;regidx;extop_zbb,extop_zbb(3),3,4,False,currentlyEnabled(Ext_Zbb);currentlyEnabled(Ext_Zbb) & xlen == 32;currentlyEnabled(Ext_Zbb) & xlen == 64,extensions/B/zbb_insts.sail:161
REV8,B,"(regidx, regidx)",regidx;regidx,,1,2,False,(currentlyEnabled(Ext_Zbb) | currentlyEnabled(Ext_Zbkb)) & xlen == 32;(currentlyEnabled(Ext_Zbb) | currentlyEnabled(Ext_Zbkb)) & xlen == 64,extensions/B/zbb_insts.sail:205
ORCB,B,"(regidx, regidx)",regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbb),extensions/B/zbb_insts.sail:225
CPOP,B,"(regidx, regidx)",regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbb),extensions/B/zbb_insts.sail:247
CPOPW,B,"(regidx, regidx)",regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbb) & xlen == 64,extensions/B/zbb_insts.sail:263
CLZ,B,"(regidx, regidx)",regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbb),extensions/B/zbb_insts.sail:279
CLZW,B,"(regidx, regidx)",regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbb) & xlen == 64,extensions/B/zbb_insts.sail:295
CTZ,B,"(regidx, regidx)",regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbb),extensions/B/zbb_insts.sail:311
CTZW,B,"(regidx, regidx)",regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbb) & xlen == 64,extensions/B/zbb_insts.sail:327
CLMUL,B,"(regidx, regidx, regidx)",regidx;regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbc) | currentlyEnabled(Ext_Zbkc),extensions/B/zbc_insts.sail:13
CLMULH,B,"(regidx, regidx, regidx)",regidx;regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbc) | currentlyEnabled(Ext_Zbkc),extensions/B/zbc_insts.sail:30
CLMULR,B,"(regidx, regidx, regidx)",regidx;regidx;regidx,,1,1,False,currentlyEnabled(Ext_Zbc),extensions/B/zbc_insts.sail:47
ZBS_IOP,B,"(bits(6), regidx, regidx, biop_zbs)",bits(6);regidx;regidx;biop_zbs,biop_zbs(4),4,4,False,currentlyEnabled(Ext_Zbs) & (xlen == 64 | shamt[5] == 0b0),extensions/B/zbs_insts.sail:12
ZBS_RTYPE,B,"(regidx, regidx, regidx, brop_zbs)",regidx;regidx;regidx;brop_zbs,brop_zbs(4),4,4,False,currentlyEnabled(Ext_Zbs),extensions/B/zbs_insts.sail:61
C_NOP,C,(bits(6)),bits(6),,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:16
C_ADDI4SPN,C,"(cregidx, bits(8))",cregidx;bits(8),,1,1,True,(nzimm != 0b00000000) & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:33
