target_id,category,feature,target,required_mode,required_configuration,observable_result,source
T00001,instruction,A,AMO#0,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00002,instruction,A,AMO#1,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00003,instruction,A,AMO#2,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00004,instruction,A,AMO#3,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00005,instruction,A,AMO#4,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00006,instruction,A,AMO#5,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00007,instruction,A,AMO#6,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00008,instruction,A,AMO#7,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00009,instruction,A,AMO#8,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00010,instruction,A,AMO#9,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zaamo_insts.sail:47
T00011,instruction,A,LOADRES,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zalrsc_insts.sail:26
T00012,instruction,A,STORECON,Not directly derivable from Sail,A,architectural state after retire or trap,extensions/A/zalrsc_insts.sail:59
T00013,instruction,B,SLLIUW,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zba_insts.sail:13
T00014,instruction,B,ZBA_RTYPEUW,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zba_insts.sail:29
T00015,instruction,B,ZBA_RTYPE,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zba_insts.sail:59
T00016,instruction,B,RORIW,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:13
T00017,instruction,B,RORI,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:29
T00018,instruction,B,ZBB_RTYPEW#0,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:46
T00019,instruction,B,ZBB_RTYPEW#1,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:46
T00020,instruction,B,ZBB_RTYPE#0,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:79
T00021,instruction,B,ZBB_RTYPE#1,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:79
T00022,instruction,B,ZBB_RTYPE#2,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:79
T00023,instruction,B,ZBB_RTYPE#3,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:79
T00024,instruction,B,ZBB_RTYPE#4,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:79
T00025,instruction,B,ZBB_RTYPE#5,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:79
T00026,instruction,B,ZBB_RTYPE#6,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:79
T00027,instruction,B,ZBB_RTYPE#7,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:79
T00028,instruction,B,ZBB_RTYPE#8,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:79
T00029,instruction,B,ZBB_EXTOP#0,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:161
T00030,instruction,B,ZBB_EXTOP#1,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:161
T00031,instruction,B,ZBB_EXTOP#2,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:161
T00032,instruction,B,REV8,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:205
T00033,instruction,B,ORCB,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:225
T00034,instruction,B,CPOP,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:247
T00035,instruction,B,CPOPW,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:263
T00036,instruction,B,CLZ,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:279
T00037,instruction,B,CLZW,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:295
T00038,instruction,B,CTZ,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:311
T00039,instruction,B,CTZW,Not directly derivable from Sail,B,architectural state after retire or trap,extensions/B/zbb_insts.sail:327
